PEAKID,URL,LAT,LON,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,PCLIMBED,PHOST_DESC,IS_HD_PEAK
GAN2,https://nepalhimalpeakprofile.org/ganesh-ii,28.378888888888888,85.05916666666667,"Ganesh II is the part of Ganesh sub range of the Nepalese Himalayas. It lies between the Budhi Gandaki and Trisuli Gandaki Vallies, about 70 km northwest from the country capita Kathmandu.",Gandaki Pradesh,Gorkha,Dharche,Ganesh,Rs (NRs), (USD),Ganesh II,,Ganesh Himal (WSW of Ganesh I),7118.0,23353.0,5.0,4.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7118m - HMG-MT, HMG-Finn, Nepa
   7130m - Japan MMW

This mountain was previously known as Ganesh III until resurveyed in early 1990s",1981.0,3.0,GAN281302,1981-10-16,"W Germany, Nepal","Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Note: This mountain previously known as Ganesh III till re-surveyed in early 1990's.,,"NE Side (AAJ 56:222 1982)
NE Spur (AAJ 56:224 1982)",True,Nepal only,True
GAN3,https://nepalhimalpeakprofile.org/ganesh-iii,28.335277777777776,85.12472222222222,Ganesh III is the part of sub range Ganesh of Nepal Himalayan range. It is also known as Salsungo. It lies between the Budhi Gandaki and Trisuli Gandaki valleys about 70 km northwest from Kathmandu Valley.,Bagmati Pradesh,Dhading/Rasuwa,Parbati Kunda/Ruby,Ganesh,Rs (NRs), (USD),Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",Ganesh Himal (S of Ganesh I on Tibetan border),7043.0,23107.0,5.0,4.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   7043m - HMG-Finn, HMG-Finn
   7110m - Nepa
   7150m - Japan MMW

This mountain was previously known as Ganesh II until resurveyed in early 1990s",1979.0,3.0,GAN379301,1979-10-19,"Japan, Nepal","Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Note: This mountain previously known as Ganesh II till re-surveyed in early 1990's.,,,True,Nepal & China,True
GAN4,https://nepalhimalpeakprofile.org/ganesh-iv,28.345024,85.079139,,Bagmati Pradesh,Gorkha/Dhading,Dharche/Ruby,Ganesh,Spring 6000 (NRs),Spring 500 (USD),Ganesh IV,Pabil,Ganesh Himal (SW of Ganesh I),7104.0,23307.0,5.0,4.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7052m - Nepa
   7102m - Japan MMW
   7104m - HMG-MT, HMG-Finn",1978.0,3.0,GAN478301,1978-10-20,"Japan, Nepal","T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",,,,True,Nepal only,True
GAN5,https://nepalhimalpeakprofile.org/ganesh-v,28.33194444444445,85.16083333333334,Ganesh V is the part of Ganesh sub range which is located in the Dhading and Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa/NC,Parbati Kunda/NC,Ganesh,Spring 5000 (NRs),Spring 400 (USD),Ganesh V,Lapsang Karbo,Ganesh Himal (SE of Ganesh I on Tibetan border),6770.0,22211.0,5.0,4.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   6770m - HMG-MT, HMG-Finn
   6950m - Japan MMW 
   6986m - Nepa",1980.0,1.0,GAN580101,1980-04-21,"Japan, Nepal","Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",,,,True,Nepal & China,True
GAN6,https://nepalhimalpeakprofile.org/ganesh-vi,28.371111111111112,85.06388888888888,Ganesh VI is part of Ganesh sub range which is located in the Gorkhar district of Western Nepal.,Gandaki Pradesh,Gorkha,Dharche,Ganesh,Rs (NRs), (USD),Ganesh VI,"Lampo,Langpo Kangri",Ganesh Himal (subpeak SE of Ganesh II),6908.0,22664.0,5.0,4.0,True,False,False,,Opened in 2002,1.0,2.0,"Other map altitudes:
   6908m - HMG-MT, HMG-Finn, Nepa (peak SE of Ganesh II)

Confusion as to whether Ganesh VI is the same as Lampu Peak north of Ganesh I on the Tibetan border or a subpeak southeast of Ganesh II. Ministry of Tourism claims subpeak of Ganesh II; other older maps claim Lampu Peak.

   6460m - Japan MMW (Lampu on Tibetan border)
   6480m - Nepa (Lampu on Tibetan border)
   6648m - HMG-Finn (Lampu on Tibetan border)",2000.0,1.0,GAN600101,2000-05-23,Japan,"Osamu Tanabe, Yasuhiro Hanatani",Possibly climbed in 1981 by Japanese Ganesh II team led by Hiroyashu Shirakabe,,,True,Nepal only,True
GAN7,,28.330141,85.142724,"Ganesh VII (6 457m/21 184ft a.s.l.) is a mountain in the Himalayas on the border of Nepal, China. The prominence is 194m/636ft.By elevation Ganesh VII is# 77 out of 127 in Qomolangma National Nature Preserve# 14 out of 31 in Gyirong County# 3 out of 23 in Dhading# 36 out of 178 in Central Development RegionBy prominence Ganesh VII is# 92 out of 127 in Qomolangma National Nature Preserve# 23 out of 31 in Gyirong County# 7 out of 23 in Dhading# 92 out of 178 in Central Development Region",Bagmati Pradesh,Dhading/Rasuwa,,Ganesh,,,Ganesh VII,,Ganesh Himal (E of Ganesh I in Tibet),6350.0,20833.0,5.0,4.0,False,True,False,,,2.0,1.0,"Other map altitudes:
   6350m - Nepa

Not shown on HMG-Finn map.",,0.0,,,,Unclimbed?,,,,False,China only,True
GANC,https://nepalhimalpeakprofile.org/ganchenpo,28.16888888888889,85.68111111111112,Ganchenpo is in Jugal Mountain Range of Nepal Himalaya. It is located in Bagmati Province and is in Rasuwa District. Ganchenpo is 3.7km west of Urkenmang and 14.4km east of Ghanjala Chuli. Ganchenpo is 6.6km south west of Langshisha Ri of elevation of 6412 meters.,Bagmati Pradesh,Rasuwa,Gosai Kunda,Jugal,NRs 5000 in spring (NRs),USD 400 in spring (USD),Ganchenpo,"Fluted Peak, Ganchempo",Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378.0,20925.0,8.0,3.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6378m - HMG-MT, HMG-Finn
   6387m - Nepa, Shangri La, Schneider, Austria Alpenvereins, Japan MMW",1971.0,3.0,GANC71302,,USA,"Terry Bech, Cheri Bech",,,"NW Face (High 130:4 Sep 1993, 138:11 May 1994)",True,Nepal only,True
GAND,https://nepalhimalpeakprofile.org/gandharva-chuli,28.53833333333333,83.96222222222222,,Gandaki Pradesh,Kaski,Machhapuchhre,Annapurna,Spring 4000 (NRs),Spring 250 (USD),Gandharva Chuli,"Gandharbha, Gabelhorn Peak",Annapurna Himal (SSW of Annapurna III near Machhapuchhare),6248.0,20499.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6248m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",2013.0,1.0,GAND13101,2013-05-06,Romania,"Cosmin Andron, Christina Pogacean",,,,True,Nepal only,True
GANG,https://nepalhimalpeakprofile.org/gangapurna,28.60527777777778,83.96583333333334,"Mountain Description
Mt. Gangapurna is one of the famous, beautiful and excellent mountains in Nepal. It is located to the northeast of Mt. Annapurna at the opposite end of Grand Barrier to Tilicho peak on the shoulder extending 10 kilometers from Annapurna directly east of Roc Noir. It lies between Annapurna III and Tilicho peak.
Gangapurna can be seen from the foothills of the Annapurna range as far as to Pokhara. Gangapurna peak rise high above the Manang valley with breathtaking views across to the Annapurna II, III and IV, Glacier Dome, Dhaulagiri, Tilicho peak and Manaslu and then ascending high above Marshyangdi valley.",Gandaki Pradesh,Kaski/Manang,Nesyang/Annapurna,Annapurna,Rs (NRs),US (USD),Gangapurna,,Annapurna Himal (NW of Annapurna III),7455.0,24459.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7454m - Nepa, Shangri La, Schneider
   7455m - HMG-MT, HMG-Finn, Japan MMW, Leomann",1965.0,1.0,GANG65101,1965-05-06,"W Germany, Nepal","Gunter Hauser, Ludwig Greissl, Hermann Kollensperger, Erich Reismueller, Ang Temba Sherpa, Phu Dorje Sherpa",,,"N Face (MM 96:12 Mar 1984)
N Face (AAJ 58:256 1984, 64:250 1990) (Slovene 1983 & 1989 routes)",True,Nepal only,True
GANW,https://nepalhimalpeakprofile.org/gangapurna-west,28.60111111111112,83.94388888888889,,Gandaki Pradesh,Kaski/Manang,Nesyang/Annapurna,Annapurna,Spring 6000 (NRs),Spring 500 (USD),Gangapurna West,"Lachenal Peak, Asapurna",Annapurna Himal (W of Gangapurna),7140.0,23425.0,1.0,5.0,True,False,False,,Opened in 2014,1.0,1.0,"Other map altitudes:
   7140m - HMG-MT, HMG-Finn, Nepa",,0.0,,,,Unclimbed?,,,,False,Nepal only,True
GAUG,https://nepalhimalpeakprofile.org/gaugiri,29.04527777777778,84.19,,Gandaki Pradesh,Mustang,Dalome,Damodar,Spring 4000 (NRs),Spring 250 (USD),Gaugiri,,Damodar Himal (N of Bhrikuti on Tibetan border),6110.0,20046.0,3.0,5.0,True,False,False,,Opened in 2002,4.0,2.0,"Other map altitudes:
   6110m - HMG-MT, HMG-Finn, Nepa",2002.0,1.0,GAUG02101,2002-05-28,USA,"Peter Ackroyd, Jim Frush",,,,True,Nepal & China,True
GAUS,https://nepalhimalpeakprofile.org/gauri,27.93722222222222,86.35027777777778,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 5000 (NRs),Spring 400 (USD),Gaurishankar South,Gauri,Rolwaling Himal (S of Gaurishankar),7010.0,22999.0,19.0,2.0,True,False,False,,Opened in 2014,1.0,2.0,"Other map altitudes:
   6983m - HMG-MT
   7010m - Schneider

No altitude given on HMG-Finn map.",1979.0,3.0,GAUS79301,1979-11-09,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",,,,True,Nepal only,True
GAUR,https://nepalhimalpeakprofile.org/gaurishankar,27.965,86.33777777777777,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 6000 (NRs),Spring 500 (USD),Gaurishankar,Jomo Tseringma,Rolwaling Himal (on Tibetan border),7135.0,23409.0,19.0,2.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   7135m - HMG-MT, HMG-Finn, Nepa, Shangri La
   7146m - Schneider, Japan MMW",1979.0,1.0,GAUR79101,1979-05-08,"US, Nepal","John Roskelley, Dorje Sherpa",,,"NE Side (High 188:22 Jul 1998)
W Ridge (MM 71:13 Jan 1980)
W Face (AAJ 59:82 1985) (USA 1984 route)
W Face (AAJ 53:418-420 1980) (USA-Nepalese 1979 route)
SW Side (AAJ 53:426 1980)",True,Nepal & China,True
GDNG,,30.12542,82.164697,"The tenacious team of Paul Ramdsen and Mick Fowler, who already received a Piolet d’Or in 2002 for their ascent of Siguniang and another in 2013 for the Prow of Shiva, made the first ascent of this isolated summit on the northwest border of Nepal, which had seen no previous attempts. After studying the different ascent possibilities, the English climbers spent five days (from base camp to summit) putting up a very elegant new line on the north face. The route is protected from objective dangers. They reached the summit on 22 October and made the descent in two days by the west ridge and then a couloir on the north side. The overall difficulty of the 1,600 m route is estimated at ED+. Paul’s description of the line: “The first half is similar to the north face of the Eiger in terms of the complexity of the itinerary, the second half is similar to the Peuterey ridge.”",Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla,"Sp 5000, Au 2500, Wi/Su 1319","Sp 400, Au 200, Wi/Su 100",Gave Ding,,Changla Himal (N of Lachama Chuli on Tibetan border),6581.0,21591.0,17.0,7.0,False,True,False,,Requires permit for Lachama Chuli,4.0,2.0,,2015.0,3.0,GDNG15301,2015-10-22,UK,"Michael Fowler, Paul Ramsden",,,,True,Nepal & China,True
GHAN,https://nepalhimalpeakprofile.org/ghanyala-hies,27.89555555555556,88.08277777777778,,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchenjunga,Sp 5000 (NRs),Sp 5000 (USD),Ghhanyala Hies,,Janak Himal (NW of Janak Chuli on Tibetan border),6744.0,22126.0,6.0,1.0,True,False,False,,Opened in 2002,4.0,1.0,"Other map altitudes:
   6744m - HMG-Finn, HMG-MT
   6794m - Japan MMW",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GHEN,https://nepalhimalpeakprofile.org/ghenye-liru,28.247802,85.470848,Ghenye Liru part of Langtang sub range is located in Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa,Gosai Kunda,Langtang,Sp 5000 (NRs),Sp 400 (USD),Ghenge Liru,"Ghenye Lirung, Langtang II",Langtang Himal (WSW of Langtang Lirung),6596.0,21640.0,13.0,3.0,True,False,False,,Opened in 2002,1.0,2.0,"Other map altitudes:
   6561m - Austria Alpenvereins
   6571m - Japan MMW
   6581m - Shangri La
   6596m - HMG-MT, HMG-Finn, Nepa",1963.0,1.0,GHEN63101,1963-05-28,"UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",,,,True,Nepal only,True
NAYA,https://nepalhimalpeakprofile.org/ghanja-la-chuli,28.168333333333333,85.55138888888888,"Ganja La Chuli (5,844 m) is the fabulous looking peak to the south of Kyanjin
Gompa, the destination village of the popular Langtang Trek in the Langtang
National Park.
The normal route to the summit is via the snowy north-east ridge. Much of
the climb is straightforward, but there is one fairly steep section on 40 to 55
degree snow where belaying is necessary.
The route is approached on the trail across the Ganja La, the tricky but
direct pass from Langtang to Helambu. The climb is often incorporated into a
crossing of the pass and can be done with two camps. The first is Ganja La
base camp some 500 meters above Kyanjin Gompa and the second a high
camp at around 4,900 meters. The summit offers sublime views of the peaks
lying along the Langtang Valley and into Tibet.
The accessibility of Langtang from Kathmandu and the number of other,
lower altitude peaks, make Langtang a great choice for a short climbing trip.",Bagmati Pradesh,Rasuwa/Sindhupalchok,Panch Pokhari Thangpal/Gosai,Langtang,Spring 4000 (NRs),Spring 250 (USD),Naya Kanga,"Kangja Chuli, Ghanja La Chuli",Jugal Himal (W of Ganchempo by Kangja La),5863.0,19236.0,8.0,3.0,False,False,True,1978.0,Opened,1.0,2.0,"Other map altitudes:
   5844m - Nepa, NGS Trekking
   5846m - Shangri La, Austria Alpenvereins, Schneider, Japan MMW
   5863m - HMG-MT, HMG-Finn",,0.0,,,,1st ascent unknown,,,,True,Nepal only,True
GHOD,https://nepalhimalpeakprofile.org/ghodchadi,27.9477,86.3209,Ghodchadi is in the Rolwaling Himal mountain range of Nepal Himalayas. Ghodchadi is an open mountain peak for expedition. Ghodchadi is on the boundary of Dolakha and China. Ghodchadi is on the boundary of Bagmati Province and China. Ghodchadi is on the boundary of Gaurishankar gaupalika and China.	Ghodchadi is 2.4km southwest of Gaurishankar and 2.0km southwest from Gauri. Dolma Khang is 3.1km southeast of Ghodchadi.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Sp 4000 (NRs),Sp 4000 (USD),Ghodchadi,,,6009.0,19715.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
GHUN,https://nepalhimalpeakprofile.org/ghustung-north,28.68055555555556,83.24722222222222,,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 5000 (NRs),Sp 400 (USD),Ghustang North,,Dhaulagiri Himal (WNW of Gurja Himal),6529.0,21421.0,4.0,6.0,True,False,False,,Opened in 2003,1.0,2.0,"Other map altitudes:
   6529m - HMG-MT, HMG-Finn, Japan MMW, Leomann",1962.0,3.0,GHUN62301,1962-10-22,"UK, Nepal","J.O.M. Roberts, Ang Pema Sherpa, Nawang Dorje Sherpa",,,,True,Nepal only,True
GHUS,https://nepalhimalpeakprofile.org/ghustung-south,28.672222222222224,83.2461111111111,,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 4000 (NRs),Sp 4000 (USD),Ghustang South,"Gurja West, Paschim Himal",Dhaulagiri Himal (WSW of Gurja Himal),6465.0,21211.0,4.0,6.0,True,False,False,,Opened in 2003,1.0,2.0,"Other map altitudes:
   6465m - HMG-MT, HMG-Finn, Japan MMW, Leomann",2019.0,3.0,GHUS18301,2019-10-23,"France, Canada, Switzerland, Nepal","Corinne Amouillin-Gautier, Herve Barlier, Sophie Bellier, Dimitri Lomer, Albert Namiache, Charles Rossignol, Francois Schulz, Dipen Nuppa Bhote, Rajan Lama Bhote, Chettar Sherpa",,,,True,Nepal only,True
GHYN,https://nepalhimalpeakprofile.org/ghyun-himal-i,29.24416666666667,83.78194444444445,Ghyun Himal I is the part of Mustang Himal sub range and is located in the Mustang District of Western Nepal.,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Damodar,Sp 4000 (NRs),Sp 250 (USD),Ghyun Himal I,,Mustang Himal (N of Ghyun Khola on Tibetan border),6110.0,20046.0,16.0,6.0,True,False,False,,Opened in 2014,4.0,1.0,"Other map altitudes:
   6099m - HMG-MT
   6110m - HMG-Finn",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GHY2,https://nepalhimalpeakprofile.org/ghyun-himal-ii,29.2405231377,83.7696797425,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang,Sp 4000 (NRs),Sp 250 (USD),Ghyun Himal II,,,6029.0,19780.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
GHY3,https://nepalhimalpeakprofile.org/ghyun-himal-iii,29.2472434193,83.772795593,,Gandaki Pradesh,Mustang/NC,Lomanthang/NC,Mustang,Sp 4000 (NRs),Sp 250 (USD),Ghyun Himal III,,,6027.0,19774.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
GHYM,,,,,,,,Kanjiroba,,,Ghyuthumba Main,"Gutumpa, Pasang Peak",Jagdula Lekh (S of Kanjiroba Himal),5806.0,19049.0,10.0,7.0,False,True,False,,,1.0,2.0,"Other map altitudes:
   5806m - HMG-Finn, Nepa, Japan MMW, Leomann",1953.0,3.0,GHYM53301,,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",,,,True,Nepal only,True
GHYP,https://nepalhimalpeakprofile.org/ghyambu-peak,29.1902713569,83.5720495208,,Karnali Pradesh,Dolpa/NC,Chharka Tongsong/NC,Gautam,Sp 4000 (NRs),Sp 250 (USD),Ghyambu Peak,,,5870.0,19258.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
GIME,,27.746132,88.178691,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,"Sp 6000, Au 3000, Wi/Su 1500","Sp 500, Au 250, Wi/Su 125",Gimmigela Chuli East,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7007.0,22989.0,9.0,1.0,False,True,False,,Requires permit for Gimmigela Chuli,5.0,2.0,"Other map altitudes:
   7007m - HMG-Finn, Nepa",1993.0,3.0,GIME93301,1993-10-09,"Japan, Nepal","Hideo Koike, Masanori Sato, Taro Tanigawa, Chuldin Sherpa, Pasang Nima Sherpa, Phurba Sherpa",,,,True,Nepal & India,True
GIMM,,27.740102,88.158563,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,"Sp 6000, Au 3000, Wi/Su 1500","Sp 500, Au 250, Wi/Su 125",Gimmigela Chuli,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350.0,24114.0,9.0,1.0,True,False,False,,Opened,5.0,2.0,"Other map altitudes:
   7350m - HMG-MT, HMG-Finn, Nepa, Shangri La, Japan MMW, Kielkowski",1994.0,3.0,GIMM94301,1994-10-29,"Japan, Nepal","Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa",,History 1994-97 (High 179:17-18 Oct 1997)  ,"S Ridge & SE Face (High 149:45 Apr 1995)
SW Ridge (High 179:17-18 Oct 1997) ",True,Nepal & India,True
GNG1,https://nepalhimalpeakprofile.org/ganglung-gangri-i,30.3427,82.0132,,Karnali Pradesh,Humla/NC,Simikot/NC,Chandi,,,Ganglung Gangri I,,,6256.0,20525.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
GOJN,,29.8477,82.6225,,Karnali Pradesh,Mugu/NC,,Kanti,,,Gojung,Mugu Chuli,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),6310.0,20702.0,11.0,7.0,False,True,False,,,4.0,2.0,"Other map altitudes:
   6310m - HMG-Finn",2011.0,3.0,GOJN11301,2011-10-19,UK,"Mick Fowler, Dave Turnbull",,,,True,Nepal & China,True
GORH,https://nepalhimalpeakprofile.org/gorakha-himal,30.065,82.23305555555555,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Sp 4000 (NRs),Sp 250 (USD),Gorakh Himal,Other name,Gorakh Himal (NE of Simikot on Tibetan border),6198.0,20335.0,17.0,7.0,True,False,False,,Opened in 2002,4.0,1.0,"Other map altitudes:
   6198m - HMG-MT, HMG-Finn, Nepa",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GORK,https://nepalhimalpeakprofile.org/gorakh-khang,30.04416666666667,82.33749999999999,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Sp 4000 (NRs),Sp 250 (USD),Gorakh Khang,,Gorakh Khang (ENE of Simikot on Tibetan border),6254.0,20518.0,17.0,7.0,True,False,False,,Opened in 2014,4.0,1.0,"Other map altitudes:
   6254m - HMG-MT, HMG-Finn",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GURA,https://nepalhimalpeakprofile.org/gurans,30.04305555555556,81.10888888888888,,Sudhurpashchim Pradesh,Bajhang/NC,Kanda/NC,Gurans,Sp 5000 (NRs),Sp 400 (USD),Guras,Gurans,Guras Himal (NE of Nampa on Tibetan border),6744.0,22126.0,2.0,7.0,True,False,False,,Opened in 2014,4.0,1.0,"Other map altitudes:
   6744m - HMG-MT, HMG-Finn",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GURJ,https://nepalhimalpeakprofile.org/gurja-himal,28.67388888888889,83.27777777777777,"It is named after the nearby village of Gurja in mid west Nepal. Gurja himal, located at the lap of south face of Dhaulagiri Himal is 21.3km west of Dhaulagiri I. The Gurja Himal is separated by a 6010 meter high pass from the Ghustang (6529m) located at 3.0 km. to the west.",Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Rs (NRs),US (USD),Gurja Himal,,Dhaulagiri Himal (S of Dhaulagiri VI),7193.0,23599.0,4.0,6.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7193m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1969.0,3.0,GURJ69301,1969-11-01,"Japan, Nepal","Tomokuni Saeki, Lhakpa Tenzing Sherpa",,,S Face (AAJ 71:290 1997) (unclimbed face),True,Nepal only,True
GURK,https://nepalhimalpeakprofile.org/gurkarpo-ri,28.094444444444445,86.75083333333333,,Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Jugal,Spring 5000 (NRs),Spring 400 (USD),Gurkarpo Ri,,Jugal Himal (N of Dorje Lhakpa on Tibetan border),6889.0,22602.0,8.0,3.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   6874m - Japan MMW
   6889m - HMG-MT, HMG-Finn, Nepa
   6892m - Austria Alpenvereins",2007.0,3.0,GURK07301,2007-11-01,France,"Paul Grobel, Pierre-Olivier Dupuy, Marc Kia, Jean Francois Males",,,N Side (High 138:13 May 1994),True,Nepal & China,True
GYAC,https://nepalhimalpeakprofile.org/gyachung-khang,28.094444444444445,86.75083333333333,"Gyachung Khang, part of Mahalangur range is located in the Solukhumbu District of Eastern Nepal.",Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Khumbu,Spring 8000 (NRs),Spring 600 (USD),Gyachung Kang,,Khumbu Himal (E of Cho Oyu on Tibetan border),7861.0,25791.0,12.0,2.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   7861m - HMG-Finn
   7922m - Shangri La, Schneider, Japan MMW
   7952m - HMG-MT, Kielkowski

HMG-Finn map shows Gyachung Kang as twin peaks of 7861m and 7851m.",1964.0,1.0,GYAC64101,1964-04-10,"Japan, Nepal","Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)",,Dyhrenfurth history 1951-1976 (MM 48:28-29 Mar 1976),"SW Face (High 198:39 May 1999)
N Face (High 210:65 May 2000) 
SW Face (MM 48:28 Mar 1976)  ",True,Nepal & China,True
GYAJ,https://nepalhimalpeakprofile.org/gyajikang,28.73305555555556,84.37416666666665,"Mt. Gyajikang lies in Peri himal north east of Manang. It lies in Nar Phu valley, a part of Manang district. For the approach to the base camp, one must follow the popular Annapurna circuit trekking route from Besi Shahar to Koto and then precede trekking route to Nar and Phu.",Gandaki Pradesh,Manang,Nar Phu,Peri,Rs (NRs), (USD),Gyajikang,Gyaji Khang,Peri Himal (SW of Himlung Himal),7074.0,23209.0,18.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6700m - Japan MMW
   7038m - NGS Trekking, Leomann
   7074m - HMG-MT, HMG-Finn, Nepa",1994.0,3.0,GYAJ94301,1994-10-07,"Japan, Nepal","Toshisada Hasegawa, Yousuke Kokubo, Osamu Tanabe, Ram Kaji Sivakoti, Pasang Tshering Sherpa, Dambar Bahadur Gurung",,,"S Side (AAJ 74:360 2000) (Himlung, Gyajikang & Nemjung)",True,Nepal only,True
GYLA,https://nepalhimalpeakprofile.org/gyala,28.751944444444444,84.55888888888889,Gyala is part of Manaslu sub range of the Nepalese Himalayas which is located in the Gorkha District of Western Nepal.,Gandaki Pradesh,Gorkha/NC,Chum Nubri/NC,Gyala,Spring 4000 (NRs),Spring 250 (USD),Gyala,,Manaslu Himal (NNE of Larkya La on Tibetan border),6363.0,20876.0,15.0,4.0,True,False,False,,Opened in 2014,4.0,1.0,"Other map altitudes:
   6363m - HMG-MT, HMG-Finn, Nepa",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
GYLZ,https://nepalhimalpeakprofile.org/gyalzen-peak,28.183888888888887,85.84166666666667,Gyalzen Peak with elevation of 6151 meters is a peak in Jugal mountain range. Gyalzen is on the boundary of Bagmati Province and China. Gyalze Peak is located in Sindhupalchok district of Nepal and is in Jugal Gaupalika. Gyalzen peak is 6.8km east of Dorje Lyakpa of height 6966 meters. Gyalzen is 5.7km norh west of Yagri peak.,Bagmati Pradesh,Sindhupalchok/NC,Jugal/NC,Jugal,NRs 4000 in spring (NRs),USD 250 in spring (USD),Gyalzen Peak,Gyaltsen Peak,Jugal Himal (SE of Leonpo Gang on Tibetan border),6151.0,20180.0,8.0,3.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   6151m - HMG-MT, HMG-Finn, Nepa

This is not the Gyalgen Peak that was climbed in 1955 by the Scottish Women's Himalayan Expedition led by Monica Jackson (that peak is now call Leonpo Gang East).",2019.0,1.0,GYLZ19101,2019-04-09,Nepal,"Maya Gurung, Min Bahadur Tamang, Sharmila Thapa, Tul Singh Gurung, Nar Bahadur Astani, Ash Bahadur Gurung, Samir Gurung",Climbed by Japanese in 1961 (then called Gumasi Peak)?,,,True,Nepal & China,True
